"Time (s)","Sound pressure level (dB)"
0.000000000E0,-∞
2.592814620E-1,-∞
3.653140770E-1,-2.096516257E1
5.638646150E-1,-1.656833022E1
7.645457690E-1,-1.979897748E1
9.647646150E-1,-1.962660098E1
1.159728000E0,-2.881434453E1
1.359794154E0,-2.887628864E1
1.563637846E0,-2.860499754E1
1.763114769E0,-2.954541983E1
1.967304539E0,-3.008873446E1
2.166667616E0,-2.917424056E1
2.358938462E0,-3.252804788E1
2.562584308E0,-2.955769137E1
2.761261539E0,-3.078247423E1
2.964526693E0,-3.107395925E1
3.161948539E0,-2.831927630E1
3.358970385E0,-3.223470834E1
3.562016000E0,-2.708947665E1
3.762985231E0,-2.957976897E1
3.960310462E0,-2.872203908E1
4.163183693E0,-2.723548546E1
4.365054770E0,-3.090534225E1
4.562962693E0,-3.227811487E1
4.759178462E0,-3.169369536E1
4.961509231E0,-3.152282588E1
5.160505770E0,-3.293302745E1
5.364861539E0,-3.178414760E1
5.565633462E0,-3.198567326E1
5.763888000E0,-3.013451708E1
5.960275616E0,-3.197100482E1
6.164711077E0,-3.377740918E1
6.361304616E0,-3.329641724E1
6.560505154E0,-3.411067830E1
6.768389770E0,-3.093792712E1
6.966337154E0,-3.336470161E1
7.165642385E0,-2.868829946E1
7.363316231E0,-3.164088215E1
7.566194462E0,-2.970782279E1
7.766457847E0,-2.873392911E1
7.967530693E0,-2.702829954E1
8.164039077E0,-3.215201558E1
8.362897847E0,-3.134108562E1
8.564083616E0,-3.221436206E1
8.766637231E0,-3.031584275E1
8.963086077E0,-2.876688353E1
9.166544001E0,-3.224243469E1
9.367008308E0,-3.233434295E1
9.566448001E0,-2.726728659E1
9.766897847E0,-3.006815153E1
9.967390770E0,-2.601944972E1
1.016707662E1,-2.688488815E1
1.036692054E1,-2.325623629E1
1.056503169E1,-2.504025044E1
1.076839969E1,-2.561979429E1
1.096729631E1,-2.795283171E1
1.116722823E1,-2.971902849E1
1.136670700E1,-2.824653966E1
1.156330823E1,-2.951071068E1
1.176741416E1,-2.885515451E1
1.196740062E1,-2.761204597E1
1.216695569E1,-2.964393154E1
1.236513962E1,-2.725191819E1
1.256618977E1,-3.112909488E1
1.276785962E1,-2.981907708E1
1.296664246E1,-3.015021421E1
1.316744462E1,-3.193778057E1
1.336701469E1,-3.072896042E1
1.356668646E1,-2.907245630E1
1.376854362E1,-2.890029727E1
1.396768792E1,-2.969762835E1
1.416705508E1,-3.003665253E1
1.436656916E1,-2.888565285E1
1.456310577E1,-2.630628332E1
1.476694708E1,-2.695148285E1
1.496722454E1,-2.739099240E1
1.516676523E1,-2.767710073E1
1.536314208E1,-2.411263421E1
1.556335962E1,-2.027967275E1
1.576734916E1,-2.507357336E1
1.596779039E1,-2.643619772E1
1.616505231E1,-2.762942466E1
1.636641716E1,-2.577334537E1
1.656779539E1,-2.683579860E1
1.676678362E1,-2.906979034E1
1.696609416E1,-2.730407276E1
1.716140177E1,-3.042514148E1
1.736687200E1,-2.670874737E1
1.756826923E1,-2.881321840E1
1.776695439E1,-2.392464374E1
1.796802585E1,-2.887803541E1
1.816589223E1,-2.915003751E1
1.836857746E1,-2.112320331E1
1.856725631E1,-2.752169500E1
1.876502062E1,-2.990569075E1
1.896679416E1,-2.353473631E1
1.916709600E1,-2.712782711E1
1.936716300E1,-2.994267533E1
1.956415077E1,-3.131929920E1
1.976724300E1,-3.053511614E1
1.996696208E1,-2.886457133E1
2.016711539E1,-2.770682216E1
2.036803816E1,-2.808224352E1
2.056742454E1,-2.900048080E1
2.076803808E1,-2.962520167E1
2.096732892E1,-3.038493217E1
2.116758362E1,-2.834184331E1
2.136679716E1,-3.121671543E1
2.156696185E1,-2.968478401E1
2.176660585E1,-3.047283640E1
2.196663631E1,-3.085444308E1
2.216700708E1,-3.093909415E1
2.236759385E1,-2.935277011E1
2.255912269E1,-2.898305964E1
2.276677816E1,-2.977643218E1
2.296648000E1,-2.826161190E1
2.316685346E1,-2.765789459E1
2.336697654E1,-2.778094936E1
2.356704300E1,-2.846433901E1
2.376694985E1,-2.709280343E1
2.396706985E1,-2.645521383E1
2.416679408E1,-2.597613164E1
2.436666516E1,-2.819127311E1
2.456762639E1,-2.323935426E1
2.476669354E1,-2.586439526E1
2.496887993E1,-2.473474237E1
2.516892669E1,-2.301874618E1
2.536489100E1,-2.306908770E1
2.556696054E1,-2.367215811E1
2.576347285E1,-2.451040321E1
2.596675685E1,-2.448518225E1
2.616739069E1,-2.377496456E1
2.636564739E1,-2.049320362E1
2.656768454E1,-2.378631398E1
2.676711016E1,-2.391120496E1
2.696774639E1,-2.219844078E1
2.716689631E1,-2.179188795E1
2.736727100E1,-2.206229387E1
2.756721931E1,-2.168926978E1
2.776597993E1,-2.396788628E1
2.796441931E1,-2.156667038E1
2.816712000E1,-2.238211845E1
2.836714739E1,-2.290417124E1
2.856660339E1,-2.243653443E1
2.876683654E1,-2.392291498E1
2.896538831E1,-2.468552397E1
2.916115908E1,-2.540018681E1
2.936162023E1,-2.530145756E1
2.956039662E1,-2.636839809E1
2.976184339E1,-2.575713925E1
2.996177285E1,-2.463209965E1
3.016704616E1,-2.294337237E1
3.036656054E1,-2.529056063E1
3.056753723E1,-2.286503239E1
3.076663600E1,-2.419624187E1
3.096679962E1,-2.276551570E1
3.116701077E1,-2.293449607E1
3.136754916E1,-2.665696391E1
3.156730523E1,-2.447800305E1
3.176749008E1,-2.438783531E1
3.196554493E1,-2.417940192E1
3.216674492E1,-2.723953884E1
3.236797500E1,-2.717861523E1
3.256646154E1,-1.877437908E1
3.276633223E1,-2.588807168E1
3.296681008E1,-2.901266696E1
3.316643754E1,-2.625190765E1
3.336719662E1,-2.708330730E1
3.356892616E1,-2.966367268E1
3.376679346E1,-3.039520070E1
3.396762492E1,-2.671477569E1
3.416712862E1,-2.875035955E1
3.436761292E1,-2.845251403E1
3.456703285E1,-2.821006955E1
3.476738362E1,-2.787213052E1
3.496614977E1,-2.708623617E1
3.516486400E1,-2.764190094E1
3.536499108E1,-2.659568574E1
3.556428031E1,-2.686805555E1
3.576494708E1,-2.755906583E1
3.596654554E1,-2.643912550E1
3.616652885E1,-2.789051253E1
3.636712923E1,-2.910321920E1
3.656675970E1,-2.717217932E1
3.676668762E1,-2.757889530E1
3.696683623E1,-2.814526256E1
3.716772146E1,-2.921630790E1
3.736742362E1,-2.783319282E1
3.756772700E1,-2.652161985E1
3.776695231E1,-2.542771261E1
3.796771539E1,-2.449125692E1
3.816651200E1,-2.509036303E1
3.836690085E1,-2.340543136E1
3.856813323E1,-2.620048004E1
3.876741870E1,-2.458743475E1
3.896665785E1,-2.616770645E1
3.916677231E1,-2.434305766E1
3.936748031E1,-2.533513755E1
3.956763970E1,-2.759756060E1
3.976768092E1,-2.796204297E1
3.996440639E1,-2.278085192E1
4.016411931E1,-2.336271974E1
4.036700770E1,-2.727110773E1
4.056685316E1,-2.755863858E1
4.076686277E1,-2.385289882E1
4.096681877E1,-2.341771743E1
4.116755746E1,-2.411420149E1
4.136703193E1,-2.611584219E1
4.156679785E1,-2.570378940E1
4.176750216E1,-2.581987947E1
4.196768493E1,-2.681856030E1
4.216526431E1,-2.481980757E1
4.236690977E1,-2.553316524E1
4.256715746E1,-2.564330863E1
4.276662823E1,-2.577660458E1
4.296661654E1,-2.552910444E1
4.316235693E1,-2.878761982E1
4.336762762E1,-2.225219402E1
4.355871570E1,-2.039311273E1
4.375843470E1,-1.788804823E1
4.395851323E1,-2.376201832E1
4.415847962E1,-2.604378214E1
4.435801816E1,-2.581479378E1
4.446627562E1,-2.639634998E1
4.466710085E1,-2.445670731E1
4.486701385E1,-2.711196109E1
4.506682639E1,-2.857389498E1
4.526699993E1,-2.921295200E1
4.546679962E1,-2.834336783E1
4.566692246E1,-2.898656018E1
4.586719162E1,-3.010926862E1
4.606753323E1,-3.098508222E1
4.626689293E1,-2.966393904E1
4.646689200E1,-2.747272011E1
4.666716185E1,-3.120811217E1
4.686679262E1,-3.402515995E1
4.706726800E1,-3.359670245E1
4.726690185E1,-2.846405881E1
4.746771785E1,-2.920532608E1
4.766784977E1,-2.997327570E1
4.786656454E1,-1.950807269E1
4.806691508E1,-1.679392125E1
4.826793477E1,-1.617888220E1
4.846691070E1,-2.078209481E1
4.866654893E1,-2.063688676E1
4.886650154E1,-1.478881991E1
4.906693746E1,-1.426988068E1
4.926707816E1,-2.276978631E1
4.946689870E1,-1.980448655E1
4.966760054E1,-1.611755329E1
4.986228977E1,-1.415475375E1
5.006601316E1,-1.702999431E1
