Time (s),Sound pressure level (dB)
0.0,-55.856675853097826
0.25,-45.57822817652441
0.5,-54.437540134682976
0.75,-44.037216409504495
1.0,-47.244825583866906
1.25,-49.25177844649673
1.5,-56.190670797820694
1.75,-54.124298633754535
2.0,-55.78060051960546
2.25,-51.11364733471134
2.5,-49.546563985003715
2.75,-49.53690438222321
3.0,-59.80908482999991
3.25,-61.619059848877384
3.5,-49.67709952878168
3.75,-51.56907909832635
4.0,-53.48967711871352
4.25,-49.436987958492395
4.5,-56.275164527842335
4.75,-55.89205949043682
5.0,-49.79461108330429
5.25,-51.54776859417085
5.5,-49.57665120353322
5.75,-46.08753468271199
6.0,-54.3146264387445
6.25,-48.20647964374505
6.5,-47.327397107036404
6.75,-57.198145350197514
7.0,-52.67693591938258
7.25,-47.79726294199483
7.5,-49.727113132946286
7.75,-58.30933892219084
8.0,-45.25923290048172
8.25,-51.96081958724885
8.5,-51.319130858874246
8.75,-57.23943692863763
9.0,-54.2311727188762
9.25,-59.046582433805206
9.5,-52.648882969253414
9.75,-56.102283650871
10.0,-47.74711162858334
10.25,-60.66232375819477
10.5,-47.356245544062645
10.75,-56.55068623630066
11.0,-57.84882796100524
11.25,-53.08757043732564
11.5,-52.4056398541748
11.75,-52.32355795113892
12.0,-50.33216396761118
12.25,-54.88462768302367
12.5,-52.84761566977928
12.75,-54.65038621998748
13.0,-54.86663445484124
13.25,-53.23651406132984
13.5,-45.37810579228988
13.75,-54.464682689800945
14.0,-60.9328334195034
14.25,-52.704770929263695
14.5,-48.16947199240954
14.75,-63.090128234470725
15.0,-56.03435415843426
15.25,-49.58076020903839
15.5,-45.15821011124133
15.75,-52.60416466578591
16.0,-44.84387856554859
16.25,-55.11273018092519
16.5,-61.17662095776877
16.75,-55.59845351220626
17.0,-51.775673418625416
17.25,-52.003079966606116
17.5,-59.63956206981396
17.75,-53.151945450918745
18.0,-55.61760962853174
18.25,-61.07391222520588
18.5,-52.902804073620466
18.75,-54.59765409391983
19.0,-56.95912872974633
19.25,-45.81644648074328
19.5,-42.56266479312685
19.75,-61.328580698091294
20.0,-50.16116060108248
20.25,-55.89090993625157
20.5,-55.68597135669213
20.75,-61.257062948813136
21.0,-52.52372511711868
21.25,-58.25294149612653
21.5,-51.18183011651147
21.75,-57.27434937072354
22.0,-48.89695960186923
22.25,-55.20608127392762
22.5,-46.184422861194044
22.75,-52.97833485586255
23.0,-48.18433703694021
23.25,-46.894572588104644
23.5,-58.38318288749592
23.75,-51.462367894023046
24.0,-49.231675837499296
24.25,-49.63710718179715
24.5,-50.845782484681735
24.75,-54.80433531277458
25.0,-55.214901422982265
25.25,-61.35450841211561
25.5,-52.4913468048682
25.75,-60.59642383228944
26.0,-50.19564438838565
26.25,-55.81238761183637
26.5,-52.19838710429678
26.75,-48.201123362566925
27.0,-45.24115611901062
27.25,-59.128165216404206
27.5,-55.15013968671088
27.75,-54.53437072701089
28.0,-56.87841173581051
28.25,-59.53016015385468
28.5,-54.78999790885643
28.75,-52.80773240156754
29.0,-56.29583839509107
29.25,-56.15511263209467
29.5,-54.9181216491367
29.75,-55.918663108872664
30.0,-50.353913493245855
30.25,-55.52597804796012
30.5,-56.725227701316314
30.75,-51.832699618520294
31.0,-54.35006545286807
31.25,-54.76634497654562
31.5,-54.1151501400697
31.75,-52.3768379295949
32.0,-50.55062152221121
32.25,-53.659277512862
32.5,-52.968967271350124
32.75,-56.16492415787647
33.0,-48.09699840005998
33.25,-55.42604646870358
33.5,-55.826598585920316
33.75,-53.48575894527982
34.0,-60.98809332698348
34.25,-52.89460061060591
34.5,-55.99877387587103
34.75,-51.23772626569517
35.0,-62.569677181211716
